report_date,asset,avg_liquidity_ratio,turnover_usd,volatility_index
2025-01-23,SOL,1.9191,35209720.13,0.2175
2025-01-23,BNB,1.7716,34412877.38,0.1802
2025-01-23,XRP,2.1109,43518272.47,0.1757
2025-01-23,ADA,0.8411,16102204.26,0.5741
2025-01-23,DOT,2.3331,19659486.54,0.6005
2025-01-23,MATIC,0.9216,32005805.47,0.5391
2025-01-24,BTC,0.963,35444197.17,0.6952
2025-01-24,ETH,1.7607,8084312.73,0.7887
2025-01-24,SOL,2.0522,17582558.14,0.3999
2025-01-24,BNB,1.3929,24250353.17,0.3389
2025-01-24,XRP,2.1593,37537898.56,0.1739
2025-01-24,ADA,2.3373,29694574.46,0.6801
2025-01-24,DOT,1.9317,21290460.09,0.6137
2025-01-24,MATIC,2.3448,14343460.65,0.6657
2025-01-25,BTC,1.6611,23306895.16,0.4049
2025-01-25,ETH,1.9696,14272612.6,0.6962
2025-01-25,SOL,2.1292,6639841.72,0.7171
2025-01-25,BNB,1.1902,22517755.6,0.5272
2025-01-25,XRP,1.4064,4205399.91,0.6957
2025-01-25,ADA,1.0909,11909033.71,0.6585
2025-01-25,DOT,1.3445,39973439.15,0.5908
2025-01-25,MATIC,1.242,3426346.81,0.7636
2025-01-26,BTC,0.937,33243135.89,0.442
2025-01-26,ETH,2.0131,32005592.26,0.5521
2025-01-26,SOL,1.5853,36303180.46,0.1651
2025-01-26,BNB,1.1546,32055060.52,0.3143
2025-01-26,XRP,1.7305,22876940.53,0.4716
2025-01-26,ADA,1.4808,34329288.34,0.3316
2025-01-26,DOT,1.9246,14378489.93,0.276
2025-01-26,MATIC,0.993,11088540.32,0.1837
2025-01-27,BTC,1.6574,35011963.6,0.2296
2025-01-27,ETH,1.1462,23336340.66,0.6072
2025-01-27,SOL,2.3626,25034748.5,0.2981
2025-01-27,BNB,0.9608,11152938.28,0.2592
2025-01-27,XRP,1.0871,3594231.42,0.4739
2025-01-27,ADA,1.2389,43920387.11,0.4874
2025-01-27,DOT,1.9159,8303738.7,0.7079
2025-01-27,MATIC,1.5854,39654228.87,0.5018
2025-01-28,BTC,1.551,21499689.52,0.2291
2025-01-28,ETH,0.8822,42524671.06,0.4344
2025-01-28,SOL,2.1154,19829712.57,0.1519
2025-01-28,BNB,1.8071,5251581.12,0.2044
2025-01-28,XRP,1.7005,15761091.5,0.7957
2025-01-28,ADA,0.9895,35106624.7,0.5244
2025-01-28,DOT,2.0652,12478859.76,0.4658
2025-01-28,MATIC,1.5208,21594282.17,0.7021
2025-01-29,BTC,2.3841,15825970.26,0.5347
2025-01-29,ETH,1.7754,34083750.83,0.7633
2025-01-29,SOL,1.1325,11863058.2,0.5623
2025-01-29,BNB,1.0513,10300169.03,0.1525
2025-01-29,XRP,0.8043,21921155.59,0.5157
2025-01-29,ADA,1.266,12722001.85,0.5949
2025-01-29,DOT,1.9248,22069315.71,0.5812
2025-01-29,MATIC,2.2783,36088777.12,0.5375
2025-01-30,BTC,1.8579,42214075.25,0.3976
2025-01-30,ETH,1.6713,30200658.38,0.7359
2025-01-30,SOL,2.1226,5999213.15,0.2161
2025-01-30,BNB,1.2922,34456224.33,0.4984
2025-01-30,XRP,1.2618,8222853.64,0.5821
2025-01-30,ADA,1.9196,42592402.11,0.4503
2025-01-30,DOT,1.5901,6378557.78,0.1279
2025-01-30,MATIC,1.4912,16537506.5,0.2753
2025-01-31,BTC,0.9461,43400266.29,0.6852
2025-01-31,ETH,1.7203,42933023.67,0.7997
2025-01-31,SOL,1.8757,14319463.09,0.1282
2025-01-31,BNB,2.01,22761034.58,0.5561
2025-01-31,XRP,2.2657,10622544.18,0.5097
2025-01-31,ADA,1.8157,23652483.69,0.1639
2025-01-31,DOT,1.3567,16998952.53,0.5691
2025-01-31,MATIC,2.1724,16851753.87,0.5856
2025-02-01,BTC,1.2611,42698128.66,0.6695
2025-02-01,ETH,1.6802,22102688.16,0.3202
2025-02-01,SOL,1.3172,43747758.53,0.3829
2025-02-01,BNB,1.6234,44501007.02,0.5604
2025-02-01,XRP,1.6681,20356397.97,0.2313
2025-02-01,ADA,1.3788,34770612.47,0.5378
2025-02-01,DOT,2.016,11549446.01,0.4845
2025-02-01,MATIC,2.2843,21400875.99,0.5888
2025-02-02,BTC,0.9943,43872166.26,0.5262
2025-02-02,ETH,1.1829,9651882.88,0.4856
2025-02-02,SOL,1.6836,6914786.45,0.7946
2025-02-02,BNB,2.2607,22380811.56,0.1822
2025-02-02,XRP,2.1314,23931771.2,0.6016
2025-02-02,ADA,1.6142,14483845.66,0.6843
2025-02-02,DOT,2.3684,13236698.06,0.4859
2025-02-02,MATIC,1.4137,41718462.3,0.4558
2025-02-03,BTC,2.2069,39289131.25,0.2934
2025-02-03,ETH,2.064,20427581.79,0.754
2025-02-03,SOL,1.6124,37463077.87,0.298
2025-02-03,BNB,1.2777,27651384.34,0.7992
2025-02-03,XRP,1.5834,9241007.57,0.477
2025-02-03,ADA,1.3522,26180531.52,0.4804
2025-02-03,DOT,1.5286,16514648.71,0.2321
2025-02-03,MATIC,1.916,27015500.96,0.2635
2025-02-04,BTC,2.0409,4833186.56,0.6213
2025-02-04,ETH,1.9284,37079173.91,0.3703
2025-02-04,SOL,1.8619,37471397.17,0.7866
2025-02-04,BNB,1.5925,4554823.68,0.4516
2025-02-04,XRP,1.7443,39527413.16,0.7119
2025-02-04,ADA,1.5045,25089945.65,0.4198
2025-02-04,DOT,1.9559,20219102.03,0.5583
2025-02-04,MATIC,1.047,22718605.24,0.7784
2025-02-05,BTC,1.3417,32093593.14,0.5549
2025-02-05,ETH,2.1628,38798336.14,0.7015
2025-02-05,SOL,1.408,16299768.47,0.6031
2025-02-05,BNB,2.015,39640086.73,0.1251
2025-02-05,XRP,0.9095,29508762.71,0.7447
2025-02-05,ADA,2.3959,34364187.4,0.4038
2025-02-05,DOT,0.9575,29617408.81,0.7108
2025-02-05,MATIC,1.5099,32148048.84,0.7324
2025-02-06,BTC,0.8736,36438025.54,0.3054
2025-02-06,ETH,1.3997,9113931.42,0.4718
2025-02-06,SOL,1.7055,36285817.9,0.219
2025-02-06,BNB,0.9263,39575263.14,0.5338
2025-02-06,XRP,1.1853,41338818.67,0.2002
2025-02-06,ADA,1.5378,13667048.26,0.2787
2025-02-06,DOT,0.815,36794589.23,0.7308
2025-02-06,MATIC,1.8842,9634976.13,0.4092
2025-02-07,BTC,1.3529,27678011.62,0.5473
2025-02-07,ETH,1.4789,13504125.43,0.6917
2025-02-07,SOL,1.1187,19157116.46,0.4382
2025-02-07,BNB,1.1795,27020753.08,0.5024
2025-02-07,XRP,2.3883,15399691.66,0.7846
2025-02-07,ADA,1.8532,14528175.97,0.4962
2025-02-07,DOT,1.8973,34276091.33,0.1343
2025-02-07,MATIC,1.7703,23862546.03,0.7329
2025-02-08,BTC,1.2579,36552125.02,0.5249
2025-02-08,ETH,1.3637,29737950.88,0.5346
2025-02-08,SOL,1.8844,33278991.82,0.5614
2025-02-08,BNB,2.1413,29386420.35,0.7324
2025-02-08,XRP,1.8341,15975181.13,0.4086
2025-02-08,ADA,1.7273,33759110.25,0.1631
2025-02-08,DOT,1.2722,34394196.33,0.2229
2025-02-08,MATIC,1.0115,25655125.88,0.78
2025-02-09,BTC,1.6494,41366452.93,0.6813
2025-02-09,ETH,1.2112,37636972.13,0.4373
2025-02-09,SOL,2.0904,34355492.73,0.3371
2025-02-09,BNB,0.9843,43441518.3,0.1985
2025-02-09,XRP,2.3464,39125905.07,0.607
2025-02-09,ADA,2.3679,43625329.39,0.6632
2025-02-09,DOT,1.3852,36208642.68,0.1097
2025-02-09,MATIC,1.6585,22101013.16,0.571
2025-02-10,BTC,1.8757,27551523.85,0.6757
2025-02-10,ETH,2.3045,7550536.29,0.2637
2025-02-10,SOL,0.84,40137863.5,0.493
2025-02-10,BNB,2.2644,12297422.4,0.1443
2025-02-10,XRP,2.1182,41194280.81,0.3115
2025-02-10,ADA,1.4533,8870634.53,0.7624
2025-02-10,DOT,1.287,23690234.0,0.168
2025-02-10,MATIC,2.2196,8697890.05,0.4176
2025-02-11,BTC,1.8728,34211885.1,0.7622
2025-02-11,ETH,1.4706,34175298.62,0.2082
2025-02-11,SOL,1.4638,7158908.66,0.4425
2025-02-11,BNB,1.453,42963904.07,0.1229
2025-02-11,XRP,1.3928,21622089.61,0.7654
2025-02-11,ADA,2.1687,7172894.23,0.58
2025-02-11,DOT,1.6711,44069386.24,0.3511
2025-02-11,MATIC,1.437,10971959.61,0.1855
2025-02-12,BTC,2.1569,22098129.48,0.5639
2025-02-12,ETH,1.8267,28080130.3,0.115
2025-02-12,SOL,2.0589,13229893.68,0.1881
2025-02-12,BNB,1.7033,5881626.42,0.6356
2025-02-12,XRP,1.1315,12069956.78,0.7088
2025-02-12,ADA,1.3257,9197275.56,0.7304
2025-02-12,DOT,0.8045,39053057.31,0.2013
2025-02-12,MATIC,1.008,13527476.26,0.2221
2025-02-13,BTC,1.8577,4082766.29,0.1104
2025-02-13,ETH,2.064,12993127.46,0.3266
2025-02-13,SOL,1.0788,5200758.75,0.6192
2025-02-13,BNB,1.6417,34317941.55,0.4334
2025-02-13,XRP,2.0448,24555994.22,0.1763
2025-02-13,ADA,1.6061,42707457.0,0.1304
2025-02-13,DOT,2.0532,39413198.13,0.465
2025-02-13,MATIC,1.5329,43489099.69,0.1426
2025-02-14,BTC,1.5664,19867924.69,0.5803
2025-02-14,ETH,1.5844,41207434.82,0.1514
2025-02-14,SOL,0.9293,28548491.79,0.146
2025-02-14,BNB,1.24,29589222.42,0.4838
2025-02-14,XRP,1.3203,44774365.75,0.4714
2025-02-14,ADA,1.5259,28427925.24,0.1694
2025-02-14,DOT,1.9228,38817294.97,0.5556
2025-02-14,MATIC,2.0303,33275276.5,0.2505
2025-02-15,BTC,1.5225,12596730.12,0.3373
2025-02-15,ETH,1.5256,20471565.31,0.1666
2025-02-15,SOL,1.4828,30934530.25,0.362
2025-02-15,BNB,1.0442,41765371.5,0.147
2025-02-15,XRP,2.1308,6915664.27,0.1676
2025-02-15,ADA,1.9821,37094309.98,0.4895
2025-02-15,DOT,1.7383,26586629.39,0.3308
2025-02-15,MATIC,0.9956,17851119.34,0.5657
2025-02-16,BTC,2.0005,39459870.25,0.6047
2025-02-16,ETH,2.3494,28217223.83,0.3462
2025-02-16,SOL,1.7247,11935029.84,0.5597
2025-02-16,BNB,1.1588,7545172.04,0.6918
2025-02-16,XRP,1.3881,35029436.54,0.5019
2025-02-16,ADA,2.0916,38496516.78,0.7822
2025-02-16,DOT,2.1095,28770077.78,0.5499
2025-02-16,MATIC,0.842,42021540.22,0.6806
2025-02-17,BTC,1.2279,10577475.02,0.5919
2025-02-17,ETH,1.2944,17272635.58,0.1043
2025-02-17,SOL,2.1918,26785485.98,0.3805
2025-02-17,BNB,1.027,29593224.53,0.1215
2025-02-17,XRP,1.9938,12035580.96,0.3939
2025-02-17,ADA,1.3454,18542229.88,0.6051
2025-02-17,DOT,2.0429,26838929.38,0.1595
2025-02-17,MATIC,0.8842,9611215.68,0.5325
2025-02-18,BTC,1.8783,14428319.43,0.5634
2025-02-18,ETH,1.5771,21565855.84,0.2912
2025-02-18,SOL,2.0079,7780335.34,0.4009
2025-02-18,BNB,1.2532,31496422.7,0.4406
2025-02-18,XRP,1.8674,4907529.23,0.3767
2025-02-18,ADA,1.7589,3322857.61,0.311
2025-02-18,DOT,1.138,8763861.82,0.2789
2025-02-18,MATIC,1.325,3324656.08,0.6229
2025-02-19,BTC,1.0811,18968712.72,0.5926
2025-02-19,ETH,1.6004,38000876.5,0.6643
2025-02-19,SOL,0.9153,39194103.2,0.1296
2025-02-19,BNB,0.83,41688822.25,0.7035
2025-02-19,XRP,1.7212,27082786.6,0.5966
2025-02-19,ADA,1.4683,7837281.65,0.1146
2025-02-19,DOT,1.3196,36655530.48,0.5327
2025-02-19,MATIC,2.1312,41630329.57,0.1617
2025-02-20,BTC,2.1512,13219291.94,0.5122
2025-02-20,ETH,1.6383,19622201.27,0.3172
2025-02-20,SOL,1.3432,16988882.14,0.2177
2025-02-20,BNB,1.6168,7789118.87,0.457
2025-02-20,XRP,2.2495,17673761.15,0.6092
2025-02-20,ADA,2.1103,37231554.24,0.2654
2025-02-20,DOT,1.0343,11285415.72,0.5217
2025-02-20,MATIC,2.0163,30531378.44,0.224
2025-02-21,BTC,2.0366,23752915.05,0.6281
2025-02-21,ETH,2.0158,21854020.79,0.7469
2025-02-21,SOL,1.7032,29682529.4,0.5372
2025-02-21,BNB,2.1828,29343131.09,0.2057
2025-02-21,XRP,0.9093,21572738.68,0.312
2025-02-21,ADA,1.2395,5359229.05,0.4551
2025-02-21,DOT,1.2967,21980382.28,0.1398
2025-02-21,MATIC,2.1307,6222702.05,0.705
2025-02-22,BTC,2.1685,28830352.31,0.4549
2025-02-22,ETH,1.5403,26281287.6,0.6543
2025-02-22,SOL,2.2334,21888815.55,0.6669
2025-02-22,BNB,1.8429,16504124.04,0.4329
2025-02-22,XRP,1.0414,5598695.4,0.1725
2025-02-22,ADA,2.2386,17424386.59,0.6
2025-02-22,DOT,1.6073,10247474.28,0.2734
2025-02-22,MATIC,1.5004,21455715.25,0.4659
2025-02-23,BTC,1.054,18659783.25,0.298
2025-02-23,ETH,1.454,17211420.17,0.5185
2025-02-23,SOL,2.0628,30186824.99,0.1461
2025-02-23,BNB,0.9512,31491932.48,0.2989
2025-02-23,XRP,1.958,30575691.63,0.7344
2025-02-23,ADA,2.1972,17001205.51,0.5079
2025-02-23,DOT,1.0263,17692473.08,0.7774
2025-02-23,MATIC,1.9176,19462235.34,0.5165
2025-02-24,BTC,2.3008,16002439.27,0.3637
2025-02-24,ETH,2.0667,37153760.92,0.5691
2025-02-24,SOL,2.1263,34028536.23,0.5798
2025-02-24,BNB,1.6422,30133042.47,0.3964
2025-02-24,XRP,1.3789,18229102.1,0.2262
2025-02-24,ADA,1.1427,42802067.24,0.4404
2025-02-24,DOT,1.1625,8777744.83,0.154
2025-02-24,MATIC,2.1511,7247912.07,0.6396
2025-02-25,BTC,2.1362,40114650.95,0.1264
2025-02-25,ETH,1.3388,35184919.39,0.1917
2025-02-25,SOL,1.4028,9814382.91,0.6819
2025-02-25,BNB,2.0338,36979836.22,0.2159
2025-02-25,XRP,1.5003,20256061.68,0.5735
2025-02-25,ADA,1.18,21656345.81,0.2994
2025-02-25,DOT,1.9977,21854974.45,0.4738
2025-02-25,MATIC,1.2951,36962202.59,0.4283
2025-02-26,BTC,2.1362,18449320.25,0.763
2025-02-26,ETH,2.3751,22390559.09,0.2972
2025-02-26,SOL,1.411,25153311.12,0.7764
2025-02-26,BNB,2.107,36652887.41,0.1969
2025-02-26,XRP,1.2,29929519.52,0.7119
2025-02-26,ADA,1.6873,7308768.73,0.6921
2025-02-26,DOT,2.1619,14972646.59,0.6342
2025-02-26,MATIC,1.2365,41022860.78,0.2031
2025-02-27,BTC,1.5,42749357.05,0.2554
2025-02-27,ETH,1.5218,17682573.28,0.1187
2025-02-27,SOL,0.8852,24084298.82,0.265
2025-02-27,BNB,2.3912,18746332.28,0.1197
2025-02-27,XRP,2.2893,38245404.08,0.555
2025-02-27,ADA,2.0662,8779182.68,0.3008
2025-02-27,DOT,2.1276,32235023.52,0.1972
2025-02-27,MATIC,1.9289,21841261.91,0.1037
2025-02-28,BTC,0.9268,13748804.99,0.6845
2025-02-28,ETH,1.6781,33543860.98,0.4694
2025-02-28,SOL,0.9779,15100266.28,0.3108
2025-02-28,BNB,0.8764,20632672.84,0.6557
2025-02-28,XRP,1.5314,7656031.6,0.7336
2025-02-28,ADA,1.7548,3690284.79,0.4608
2025-02-28,DOT,1.1871,9030227.29,0.4005
2025-02-28,MATIC,1.7837,13103698.03,0.3916
2025-03-01,BTC,1.863,6595786.11,0.7823
2025-03-01,ETH,0.9083,25094496.7,0.4551
2025-03-01,SOL,2.3813,26274382.0,0.3733
2025-03-01,BNB,1.5522,29698173.24,0.7867
2025-03-01,XRP,1.2058,3682173.71,0.652
2025-03-01,ADA,1.3517,33783522.9,0.5398
2025-03-01,DOT,2.0344,33877853.36,0.3328
2025-03-01,MATIC,0.8709,25932577.3,0.6695
2025-03-02,BTC,1.0801,35723988.93,0.4252
2025-03-02,ETH,1.9126,29532905.61,0.668
2025-03-02,SOL,0.901,35599996.79,0.4204
2025-03-02,BNB,1.2695,4839863.58,0.2396
2025-03-02,XRP,0.867,42201581.16,0.4608
2025-03-02,ADA,2.3826,25807289.3,0.2773
2025-03-02,DOT,2.0053,11026344.09,0.3499
2025-03-02,MATIC,2.0493,39363527.64,0.3323
2025-03-03,BTC,0.9992,18456805.32,0.7226
2025-03-03,ETH,1.9893,40574774.79,0.3707
2025-03-03,SOL,2.358,23840535.51,0.4483
2025-03-03,BNB,2.2789,24809585.85,0.6608
2025-03-03,XRP,1.9633,6314934.25,0.5217
2025-03-03,ADA,2.1157,25909924.69,0.3248
2025-03-03,DOT,0.9281,30758607.3,0.3145
2025-03-03,MATIC,1.7642,20896875.06,0.5828
2025-03-04,BTC,1.3625,4778916.84,0.709
2025-03-04,ETH,1.3641,44922325.11,0.2922
2025-03-04,SOL,2.368,42811983.9,0.1525
2025-03-04,BNB,1.82,18259067.49,0.6608
2025-03-04,XRP,1.8871,43017154.64,0.1999
2025-03-04,ADA,1.7721,35815102.73,0.1244
2025-03-04,DOT,0.9076,35697645.69,0.3564
2025-03-04,MATIC,1.4126,26824274.95,0.5236
2025-03-05,BTC,1.8865,42850588.23,0.3604
2025-03-05,ETH,2.0209,27104714.69,0.4706
2025-03-05,SOL,1.4369,30281550.94,0.2747
2025-03-05,BNB,0.9815,33898344.1,0.4493
2025-03-05,XRP,1.4192,26590253.85,0.2832
2025-03-05,ADA,1.2165,21743470.72,0.7975
2025-03-05,DOT,1.2569,41492114.2,0.4438
2025-03-05,MATIC,0.9962,38818704.2,0.4164
2025-03-06,BTC,2.2379,21694670.1,0.1615
2025-03-06,ETH,1.8911,38511891.2,0.3237
2025-03-06,SOL,1.3559,5727441.29,0.4795
2025-03-06,BNB,2.2261,38757206.13,0.5983
2025-03-06,XRP,2.2837,29783400.95,0.6556
