Timestamp,Temperature (°C),Machine Speed (RPM),Production Quality Score,Vibration Level (mm/s),Energy Consumption (kWh),Optimal Conditions
2025-04-01 09:25:00,73.77,1502,8.05,0.1,1.78,0
2025-04-01 09:26:00,76.53,1498,8.36,0.05,1.05,0
2025-04-01 09:27:00,75.35,1499,8.12,0.05,1.79,1
2025-04-01 09:28:00,71.85,1507,8.54,0.08,1.75,0
2025-04-01 09:29:00,75.01,1483,8.84,0.07,1.58,0
2025-04-01 09:30:00,72.83,1502,8.74,0.07,1.8,0
2025-04-01 09:31:00,72.73,1529,8.87,0.06,1.39,0
2025-04-01 09:32:00,74.43,1515,8.69,0.1,1.61,0
2025-04-01 09:33:00,74.91,1470,8.32,0.06,1.69,0
2025-04-01 09:34:00,74.82,1534,8.25,0.07,1.29,0
2025-04-01 09:35:00,74.56,1532,8.5,0.1,1.23,0
2025-04-01 09:36:00,77.94,1542,8.28,0.04,1.37,0
2025-04-01 09:37:00,76.75,1459,8.51,0.06,1.01,0
2025-04-01 09:38:00,73.63,1502,8.99,0.04,2.0,0
2025-04-01 09:39:00,74.25,1514,8.27,0.08,1.58,0
2025-04-01 09:40:00,74.63,1482,8.94,0.05,1.17,1
2025-04-01 09:41:00,74.52,1512,8.67,0.05,1.25,1
2025-04-01 09:42:00,73.12,1480,8.84,0.06,1.9,0
2025-04-01 09:43:00,76.11,1451,8.31,0.04,1.85,0
2025-04-01 09:44:00,75.88,1549,8.67,0.06,1.35,0
2025-04-01 09:45:00,75.86,1500,8.41,0.06,1.19,1
2025-04-01 09:46:00,73.22,1504,8.31,0.06,1.48,0
2025-04-01 09:47:00,73.54,1482,8.89,0.08,1.78,0
2025-04-01 09:48:00,74.76,1528,8.41,0.09,1.37,0
2025-04-01 09:49:00,72.59,1485,8.26,0.04,1.07,0
2025-04-01 09:50:00,76.03,1458,8.36,0.06,1.1,0
2025-04-01 09:51:00,78.51,1518,8.93,0.1,1.69,0
2025-04-01 09:52:00,77.42,1498,8.92,0.05,1.0,0
2025-04-01 09:53:00,75.24,1540,8.35,0.09,1.08,0
2025-04-01 09:54:00,73.96,1518,8.09,0.06,1.96,0
2025-04-01 09:55:00,77.52,1498,8.5,0.08,1.71,0
2025-04-01 09:56:00,72.75,1509,8.73,0.09,1.12,0
2025-04-01 09:57:00,74.66,1479,8.93,0.06,1.6,1
2025-04-01 09:58:00,75.24,1502,8.75,0.07,1.44,0
2025-04-01 09:59:00,72.44,1504,8.97,0.09,1.17,0
2025-04-01 10:00:00,74.39,1512,8.2,0.06,1.17,1
2025-04-01 10:01:00,71.12,1479,8.14,0.08,1.09,0
2025-04-01 10:02:00,72.74,1523,8.67,0.04,1.22,0
2025-04-01 10:03:00,75.15,1458,8.53,0.08,1.81,0
2025-04-01 10:04:00,73.39,1527,8.38,0.07,1.78,0
2025-04-01 10:05:00,73.65,1522,8.39,0.05,1.77,0
2025-04-01 10:06:00,73.39,1456,8.08,0.08,1.91,0
2025-04-01 10:07:00,75.46,1481,8.65,0.06,1.27,1
2025-04-01 10:08:00,73.32,1457,8.73,0.08,1.47,0
2025-04-01 10:09:00,72.69,1517,8.24,0.08,1.39,0
2025-04-01 10:10:00,76.91,1517,8.17,0.08,1.36,0
2025-04-01 10:11:00,77.66,1490,8.53,0.09,1.71,0
2025-04-01 10:12:00,74.03,1478,8.03,0.08,1.92,0
2025-04-01 10:13:00,73.23,1489,8.85,0.08,1.24,0
2025-04-01 10:14:00,74.85,1537,8.99,0.07,1.81,0
2025-04-01 10:15:00,76.94,1451,8.43,0.06,1.14,0
2025-04-01 10:16:00,75.04,1475,8.28,0.1,1.86,0
2025-04-01 10:17:00,74.43,1464,8.44,0.08,1.71,0
2025-04-01 10:18:00,70.92,1504,8.69,0.04,1.05,0
2025-04-01 10:19:00,74.97,1513,8.31,0.04,1.51,1
2025-04-01 10:20:00,76.85,1541,8.25,0.1,1.19,0
2025-04-01 10:21:00,74.68,1483,8.54,0.04,1.62,1
2025-04-01 10:22:00,73.41,1505,8.84,0.09,1.09,0
2025-04-01 10:23:00,75.81,1541,8.64,0.04,1.88,0
2025-04-01 10:24:00,73.7,1532,8.14,0.09,1.46,0
2025-04-01 10:25:00,75.93,1495,8.21,0.04,1.62,1
2025-04-01 10:26:00,74.05,1533,8.23,0.07,1.91,0
2025-04-01 10:27:00,80.11,1523,8.22,0.03,1.84,0
2025-04-01 10:28:00,71.73,1508,8.03,0.06,1.25,0
2025-04-01 10:29:00,75.83,1510,8.52,0.05,1.51,1
2025-04-01 10:30:00,74.95,1489,8.59,0.07,1.47,0
2025-04-01 10:31:00,72.04,1499,8.21,0.1,1.39,0
2025-04-01 10:32:00,75.01,1470,8.53,0.05,1.4,0
2025-04-01 10:33:00,74.09,1482,8.08,0.05,1.1,1
2025-04-01 10:34:00,72.09,1468,8.33,0.03,1.52,0
2025-04-01 10:35:00,78.74,1505,8.75,0.09,1.55,0
2025-04-01 10:36:00,74.5,1497,8.09,0.06,1.35,1
2025-04-01 10:37:00,75.76,1459,8.21,0.05,1.88,0
2025-04-01 10:38:00,74.91,1512,8.81,0.07,1.02,0
2025-04-01 10:39:00,75.32,1452,8.76,0.03,1.15,0
2025-04-01 10:40:00,73.7,1517,8.69,0.04,1.7,0
2025-04-01 10:41:00,74.28,1516,8.81,0.09,1.7,0
2025-04-01 10:42:00,78.22,1493,8.59,0.06,1.29,0
2025-04-01 10:43:00,73.22,1458,8.78,0.07,1.95,0
2025-04-01 10:44:00,74.67,1523,8.68,0.06,1.28,1
2025-04-01 10:45:00,77.45,1480,8.63,0.05,1.08,0
2025-04-01 10:46:00,75.94,1478,8.12,0.1,1.2,0
2025-04-01 10:47:00,74.46,1469,8.49,0.07,1.43,0
2025-04-01 10:48:00,75.31,1540,8.84,0.08,1.94,0
2025-04-01 10:49:00,73.36,1488,8.69,0.04,1.21,0
2025-04-01 10:50:00,72.45,1455,8.25,0.04,1.44,0
2025-04-01 10:51:00,74.95,1525,8.18,0.07,1.07,0
2025-04-01 10:52:00,68.88,1501,8.2,0.05,1.91,0
2025-04-01 10:53:00,75.04,1474,8.64,0.03,1.53,0
2025-04-01 10:54:00,74.28,1452,8.57,0.08,1.54,0
2025-04-01 10:55:00,78.96,1458,8.05,0.06,1.11,0
2025-04-01 10:56:00,76.2,1520,8.59,0.1,1.68,0
2025-04-01 10:57:00,72.31,1518,9.0,0.07,1.28,0
2025-04-01 10:58:00,75.35,1535,8.15,0.05,1.46,0
2025-04-01 10:59:00,73.84,1490,8.0,0.1,1.77,0
2025-04-01 11:00:00,73.91,1549,8.32,0.06,2.0,0
2025-04-01 11:01:00,75.51,1489,8.41,0.07,1.35,0
2025-04-01 11:02:00,76.23,1519,8.0,0.09,1.21,0
2025-04-01 11:03:00,74.16,1483,8.59,0.1,1.26,0
2025-04-01 11:04:00,73.24,1547,8.57,0.06,1.52,0
2025-04-01 11:05:00,75.84,1500,8.24,0.03,1.33,1
2025-04-01 11:06:00,81.18,1453,8.88,0.08,1.86,0
2025-04-01 11:07:00,73.79,1514,8.73,0.06,1.49,0
2025-04-01 11:08:00,76.61,1488,8.37,0.1,1.39,0
2025-04-01 11:09:00,76.54,1518,8.19,0.07,1.95,0
2025-04-01 11:10:00,76.59,1526,8.71,0.05,1.39,0
2025-04-01 11:11:00,77.09,1487,9.0,0.09,1.06,0
2025-04-01 11:12:00,76.34,1512,8.17,0.03,1.48,0
2025-04-01 11:13:00,72.9,1504,8.82,0.06,1.17,0
2025-04-01 11:14:00,77.08,1532,8.76,0.1,1.53,0
2025-04-01 11:15:00,77.21,1529,8.7,0.09,1.2,0
2025-04-01 11:16:00,72.12,1461,8.88,0.08,1.16,0
2025-04-01 11:17:00,77.03,1533,8.29,0.06,1.26,0
2025-04-01 11:18:00,75.88,1479,8.5,0.04,1.46,1
2025-04-01 11:19:00,76.82,1466,8.88,0.07,1.99,0
2025-04-01 11:20:00,76.67,1527,8.3,0.08,1.4,0
2025-04-01 11:21:00,71.68,1490,8.26,0.09,1.41,0
2025-04-01 11:22:00,74.47,1548,8.06,0.04,1.64,0
2025-04-01 11:23:00,72.01,1531,8.28,0.04,1.15,0
2025-04-01 11:24:00,78.93,1545,8.06,0.05,1.89,0
2025-04-01 11:25:00,76.55,1495,8.16,0.04,1.52,0
2025-04-01 11:26:00,77.41,1513,8.45,0.1,1.11,0
2025-04-01 11:27:00,75.47,1498,8.51,0.09,1.94,0
2025-04-01 11:28:00,75.34,1452,8.63,0.09,1.7,0
2025-04-01 11:29:00,73.4,1515,8.96,0.05,1.96,0
2025-04-01 11:30:00,74.12,1473,8.44,0.05,1.06,0
2025-04-01 11:31:00,74.41,1498,8.71,0.06,1.69,1
2025-04-01 11:32:00,74.25,1482,8.04,0.06,1.82,1
2025-04-01 11:33:00,75.66,1459,8.54,0.03,1.15,0
2025-04-01 11:34:00,73.26,1466,8.6,0.08,1.63,0
2025-04-01 11:35:00,75.18,1466,8.42,0.04,1.33,0
2025-04-01 11:36:00,76.56,1536,8.26,0.08,1.72,0
2025-04-01 11:37:00,73.35,1495,8.56,0.08,1.35,0
2025-04-01 11:38:00,75.24,1466,8.42,0.07,1.92,0
2025-04-01 11:39:00,73.84,1545,8.14,0.06,1.24,0
2025-04-01 11:40:00,74.54,1531,8.36,0.04,1.72,0
2025-04-01 11:41:00,73.41,1461,8.67,0.04,1.28,0
2025-04-01 11:42:00,76.08,1533,8.93,0.04,1.17,0
2025-04-01 11:43:00,77.27,1486,8.0,0.08,1.3,0
2025-04-01 11:44:00,77.22,1492,8.86,0.1,1.83,0
2025-04-01 11:45:00,72.11,1457,8.33,0.08,1.37,0
2025-04-01 11:46:00,74.82,1545,8.29,0.1,1.56,0
2025-04-01 11:47:00,72.76,1520,8.31,0.08,1.08,0
2025-04-01 11:48:00,74.58,1511,8.18,0.06,1.97,1
2025-04-01 11:49:00,78.1,1542,8.32,0.06,1.48,0
2025-04-01 11:50:00,77.6,1548,8.03,0.04,1.67,0
2025-04-01 11:51:00,76.48,1518,8.08,0.07,1.34,0
2025-04-01 11:52:00,74.92,1480,8.69,0.03,1.73,1
2025-04-01 11:53:00,78.67,1539,8.32,0.09,1.68,0
2025-04-01 11:54:00,76.42,1549,8.39,0.07,1.34,0
2025-04-01 11:55:00,78.58,1475,8.57,0.09,1.61,0
2025-04-01 11:56:00,69.49,1523,8.09,0.06,1.11,0
2025-04-01 11:57:00,75.5,1525,8.8,0.09,1.92,0
2025-04-01 11:58:00,71.16,1476,8.1,0.07,1.7,0
2025-04-01 11:59:00,74.17,1517,8.65,0.07,1.47,0
2025-04-01 12:00:00,75.33,1501,8.53,0.06,1.19,1
2025-04-01 12:01:00,74.02,1529,8.96,0.06,1.62,0
2025-04-01 12:02:00,74.19,1505,8.36,0.08,1.09,0
2025-04-01 12:03:00,79.33,1498,8.78,0.05,1.58,0
2025-04-01 12:04:00,74.69,1480,8.28,0.07,1.95,0
2025-04-01 12:05:00,71.87,1539,8.06,0.05,1.35,0
2025-04-01 12:06:00,76.48,1451,8.81,0.07,1.09,0
2025-04-01 12:07:00,75.4,1502,8.08,0.09,1.68,0
2025-04-01 12:08:00,76.19,1450,8.53,0.09,1.51,0
2025-04-01 12:09:00,72.91,1482,8.28,0.09,1.23,0
2025-04-01 12:10:00,74.66,1487,8.16,0.09,1.44,0
2025-04-01 12:11:00,73.1,1543,8.97,0.06,1.99,0
2025-04-01 12:12:00,73.45,1509,8.28,0.05,1.61,0
2025-04-01 12:13:00,72.5,1476,8.07,0.09,1.01,0
2025-04-01 12:14:00,75.37,1471,8.23,0.05,1.63,0
2025-04-01 12:15:00,75.78,1548,8.67,0.05,1.09,0
2025-04-01 12:16:00,75.16,1521,8.42,0.04,1.6,1
2025-04-01 12:17:00,69.37,1480,8.14,0.05,1.7,0
2025-04-01 12:18:00,76.1,1495,8.72,0.04,1.81,0
2025-04-01 12:19:00,72.06,1458,8.94,0.08,1.61,0
2025-04-01 12:20:00,72.79,1497,8.78,0.1,1.25,0
2025-04-01 12:21:00,75.98,1495,8.85,0.06,1.32,1
2025-04-01 12:22:00,75.88,1514,8.34,0.04,1.5,1
2025-04-01 12:23:00,75.32,1544,8.17,0.09,1.22,0
2025-04-01 12:24:00,74.13,1495,8.94,0.05,1.1,1
2025-04-01 12:25:00,72.78,1549,8.68,0.05,1.3,0
2025-04-01 12:26:00,72.42,1450,8.41,0.1,1.72,0
2025-04-01 12:27:00,74.81,1533,8.11,0.08,1.27,0
2025-04-01 12:28:00,74.1,1472,8.09,0.08,1.02,0
2025-04-01 12:29:00,73.2,1467,8.57,0.09,1.01,0
2025-04-01 12:30:00,75.45,1512,8.68,0.09,1.45,0
2025-04-01 12:31:00,74.49,1462,8.39,0.05,1.61,0
2025-04-01 12:32:00,73.31,1518,8.12,0.06,1.5,0
2025-04-01 12:33:00,78.55,1547,8.33,0.08,1.14,0
2025-04-01 12:34:00,77.54,1466,8.13,0.06,1.71,0
2025-04-01 12:35:00,77.89,1497,8.36,0.04,1.47,0
2025-04-01 12:36:00,73.96,1470,8.61,0.04,1.49,0
2025-04-01 12:37:00,75.88,1541,8.26,0.08,1.71,0
2025-04-01 12:38:00,73.32,1533,8.2,0.09,1.52,0
2025-04-01 12:39:00,74.61,1478,8.32,0.07,1.73,0
2025-04-01 12:40:00,73.78,1488,8.89,0.03,1.54,0
2025-04-01 12:41:00,73.23,1463,8.94,0.07,1.01,0
2025-04-01 12:42:00,76.92,1505,8.28,0.06,1.49,0
2025-04-01 12:43:00,71.17,1455,8.04,0.03,1.17,0
2025-04-01 12:44:00,75.45,1478,8.57,0.06,1.3,1
2025-04-01 12:45:00,77.89,1463,8.96,0.05,1.34,0
2025-04-01 12:46:00,76.55,1494,8.07,0.1,1.61,0
2025-04-01 12:47:00,74.95,1521,8.33,0.05,1.81,1
2025-04-01 12:48:00,75.0,1494,8.61,0.09,1.04,0
2025-04-01 12:49:00,75.31,1520,8.72,0.05,1.63,1
2025-04-01 12:50:00,76.36,1515,8.83,0.08,1.9,0
2025-04-01 12:51:00,72.35,1503,8.39,0.09,1.21,0
2025-04-01 12:52:00,77.44,1516,8.21,0.06,1.53,0
2025-04-01 12:53:00,73.4,1494,8.69,0.04,1.66,0
2025-04-01 12:54:00,72.75,1491,8.82,0.09,1.59,0
2025-04-01 12:55:00,74.39,1544,8.13,0.07,1.59,0
2025-04-01 12:56:00,72.09,1535,8.54,0.06,1.36,0
2025-04-01 12:57:00,77.28,1455,8.79,0.08,1.15,0
2025-04-01 12:58:00,73.43,1459,8.0,0.07,1.19,0
2025-04-01 12:59:00,77.96,1538,8.17,0.06,1.63,0
2025-04-01 13:00:00,76.01,1505,8.89,0.08,1.4,0
2025-04-01 13:01:00,76.74,1452,8.65,0.04,1.14,0
2025-04-01 13:02:00,78.86,1547,8.31,0.08,1.65,0
2025-04-01 13:03:00,74.63,1524,8.59,0.07,1.32,0
2025-04-01 13:04:00,73.3,1497,8.41,0.05,1.37,0
2025-04-01 13:05:00,75.58,1515,8.48,0.06,1.84,1
2025-04-01 13:06:00,74.71,1459,8.07,0.07,1.79,0
2025-04-01 13:07:00,73.8,1511,8.65,0.06,1.21,0
2025-04-01 13:08:00,70.3,1470,8.84,0.09,1.07,0
2025-04-01 13:09:00,75.12,1504,8.9,0.07,1.14,0
2025-04-01 13:10:00,76.52,1530,8.46,0.1,1.14,0
2025-04-01 13:11:00,71.43,1524,8.28,0.04,1.31,0
2025-04-01 13:12:00,75.88,1496,8.89,0.03,1.54,1
2025-04-01 13:13:00,76.36,1540,8.93,0.08,1.53,0
2025-04-01 13:14:00,75.25,1475,8.8,0.07,1.05,0
2025-04-01 13:15:00,76.89,1538,8.64,0.05,1.43,0
2025-04-01 13:16:00,72.62,1532,8.23,0.09,1.32,0
2025-04-01 13:17:00,75.99,1518,8.49,0.09,1.15,0
2025-04-01 13:18:00,73.1,1476,8.15,0.08,1.85,0
2025-04-01 13:19:00,73.45,1482,8.82,0.08,1.4,0
2025-04-01 13:20:00,77.59,1508,8.97,0.05,1.17,0
2025-04-01 13:21:00,73.95,1546,8.31,0.09,1.42,0
2025-04-01 13:22:00,75.65,1505,8.32,0.05,1.49,1
2025-04-01 13:23:00,76.33,1480,8.45,0.07,1.22,0
2025-04-01 13:24:00,71.22,1541,8.91,0.05,1.22,0
2025-04-01 13:25:00,75.57,1511,8.86,0.06,1.74,1
2025-04-01 13:26:00,74.46,1539,8.83,0.07,1.71,0
2025-04-01 13:27:00,77.34,1493,8.57,0.08,1.24,0
2025-04-01 13:28:00,73.48,1467,8.95,0.07,1.01,0
2025-04-01 13:29:00,72.44,1452,8.32,0.07,1.15,0
2025-04-01 13:30:00,73.09,1529,8.96,0.08,1.32,0
2025-04-01 13:31:00,78.77,1537,8.18,0.09,1.09,0
2025-04-01 13:32:00,74.61,1485,8.59,0.03,1.13,1
2025-04-01 13:33:00,75.06,1475,8.21,0.04,1.95,1
2025-04-01 13:34:00,72.65,1486,8.65,0.08,1.45,0
2025-04-01 13:35:00,74.42,1487,8.46,0.07,1.87,0
2025-04-01 13:36:00,72.69,1499,8.14,0.06,1.53,0
2025-04-01 13:37:00,73.52,1541,8.11,0.05,1.19,0
2025-04-01 13:38:00,72.87,1460,8.68,0.05,1.2,0
2025-04-01 13:39:00,73.9,1500,8.84,0.04,1.63,0
2025-04-01 13:40:00,75.56,1540,8.67,0.03,1.06,0
2025-04-01 13:41:00,74.56,1454,8.32,0.07,1.19,0
2025-04-01 13:42:00,77.03,1452,8.29,0.1,1.32,0
2025-04-01 13:43:00,71.92,1549,8.74,0.08,1.73,0
2025-04-01 13:44:00,71.43,1482,8.15,0.06,1.8,0
2025-04-01 13:45:00,72.18,1511,8.66,0.08,1.97,0
2025-04-01 13:46:00,75.58,1450,8.45,0.06,1.9,0
2025-04-01 13:47:00,74.76,1512,8.1,0.04,1.47,1
2025-04-01 13:48:00,75.83,1460,8.33,0.1,1.51,0
2025-04-01 13:49:00,76.3,1521,8.26,0.08,1.89,0
2025-04-01 13:50:00,78.47,1461,8.48,0.07,1.92,0
2025-04-01 13:51:00,76.19,1469,8.97,0.07,1.36,0
2025-04-01 13:52:00,73.88,1502,8.77,0.1,1.87,0
2025-04-01 13:53:00,73.91,1531,8.99,0.06,1.37,0
2025-04-01 13:54:00,73.84,1502,8.75,0.05,1.65,0
2025-04-01 13:55:00,74.63,1539,8.96,0.06,1.55,0
2025-04-01 13:56:00,74.06,1489,8.78,0.07,1.91,0
2025-04-01 13:57:00,74.65,1544,8.08,0.04,1.82,0
2025-04-01 13:58:00,75.03,1529,8.48,0.04,1.28,0
2025-04-01 13:59:00,74.79,1510,8.94,0.05,1.66,1
2025-04-01 14:00:00,73.08,1463,8.76,0.04,1.23,0
2025-04-01 14:01:00,76.5,1483,8.21,0.04,1.15,0
2025-04-01 14:02:00,74.66,1455,8.31,0.08,1.53,0
2025-04-01 14:03:00,75.61,1452,8.97,0.09,1.79,0
2025-04-01 14:04:00,77.96,1501,8.69,0.03,1.99,0
2025-04-01 14:05:00,74.81,1468,8.7,0.1,1.18,0
2025-04-01 14:06:00,75.26,1506,8.39,0.03,1.03,1
2025-04-01 14:07:00,73.23,1506,8.53,0.04,1.2,0
2025-04-01 14:08:00,71.84,1474,8.32,0.09,1.97,0
2025-04-01 14:09:00,72.67,1462,8.19,0.04,1.48,0
2025-04-01 14:10:00,73.88,1537,8.44,0.03,1.27,0
2025-04-01 14:11:00,74.22,1531,8.65,0.04,1.62,0
2025-04-01 14:12:00,76.45,1504,8.28,0.04,1.49,0
2025-04-01 14:13:00,74.34,1452,8.66,0.09,1.1,0
2025-04-01 14:14:00,72.31,1476,8.16,0.06,1.42,0
2025-04-01 14:15:00,77.6,1457,8.52,0.06,1.4,0
2025-04-01 14:16:00,75.52,1506,8.95,0.05,1.87,1
2025-04-01 14:17:00,77.51,1527,8.22,0.09,1.75,0
2025-04-01 14:18:00,71.71,1534,8.53,0.04,1.0,0
2025-04-01 14:19:00,72.96,1520,8.03,0.1,1.27,0
2025-04-01 14:20:00,75.38,1481,8.77,0.06,1.61,1
2025-04-01 14:21:00,82.13,1457,8.74,0.07,1.03,0
2025-04-01 14:22:00,75.52,1455,8.37,0.05,1.28,0
2025-04-01 14:23:00,73.99,1495,8.29,0.09,1.52,0
2025-04-01 14:24:00,75.13,1534,8.58,0.07,1.69,0
2025-04-01 14:25:00,73.59,1516,8.91,0.04,1.61,0
2025-04-01 14:26:00,72.7,1455,8.87,0.07,1.28,0
2025-04-01 14:27:00,71.85,1466,8.21,0.09,1.4,0
2025-04-01 14:28:00,76.16,1523,8.8,0.1,1.59,0
2025-04-01 14:29:00,77.37,1542,8.85,0.08,1.59,0
2025-04-01 14:30:00,74.74,1507,8.78,0.09,1.74,0
2025-04-01 14:31:00,73.59,1542,8.96,0.03,1.23,0
2025-04-01 14:32:00,71.64,1534,8.81,0.07,1.47,0
2025-04-01 14:33:00,75.86,1458,8.65,0.06,1.16,0
2025-04-01 14:34:00,73.79,1527,8.87,0.08,1.53,0
2025-04-01 14:35:00,71.89,1530,8.71,0.1,1.77,0
2025-04-01 14:36:00,73.99,1468,8.11,0.05,1.61,0
2025-04-01 14:37:00,75.52,1517,8.95,0.08,1.16,0
2025-04-01 14:38:00,77.44,1460,8.93,0.06,1.73,0
2025-04-01 14:39:00,75.46,1482,8.83,0.06,1.95,1
2025-04-01 14:40:00,74.34,1485,8.66,0.1,1.13,0
2025-04-01 14:41:00,72.46,1481,8.66,0.09,1.06,0
2025-04-01 14:42:00,72.52,1512,8.98,0.03,1.64,0
2025-04-01 14:43:00,75.89,1489,8.3,0.05,1.72,1
2025-04-01 14:44:00,79.37,1545,8.59,0.06,1.67,0
2025-04-01 14:45:00,73.74,1459,8.72,0.07,1.6,0
2025-04-01 14:46:00,76.12,1475,8.08,0.05,1.46,0
